t,银行业,证券业,保险业,多元金融,房地产
2012w47,-0.010121,-0.060566,-0.026889,-0.056775,-0.025235
2012w48,-0.005372,0.006835,-0.01633,-0.014169,-0.00333
2012w49,0.003365,-0.057945,-0.012994,-0.041166,-0.016928
2012w50,0.019844,0.00486,0.049866,0.001719,0.052465
2012w51,0.066433,0.067195,0.039055,0.060306,0.043908
2012w52,0.051038,0.070085,0.03675,0.091299,0.023335
2013w1,0.042636,0.085571,0.056928,0.001006,0.110858
2013w2,0.001559,-0.026569,-0.010437,0.002559,-0.01559
2013w3,0.023768,0.024608,0.013917,0.045219,0.000483
2013w4,0.04648,0.001633,-0.016334,0.019464,0.016984
2013w5,0.069689,0.102321,0.03605,0.027512,0.015586
2013w6,0.01279,0.054238,0.038557,0.055899,0.018043
2013w9,-0.009834,0.007001,-0.034216,-0.005523,-0.015755
2013w10,0.001999,0.01337,-0.03044,-0.025704,-0.067716
2013w11,-0.02687,-0.052271,-0.022541,-0.015974,-0.012662
2013w12,0.029517,0.012107,-0.012595,0.014424,0.018339
2013w13,-0.015915,-0.048857,-0.006516,0.017211,0.009354
2013w14,-0.020262,0.042998,0.027993,-0.002953,0.023103
2013w15,-0.00872,-0.013925,0.025093,-0.005275,-0.002625
2013w16,-0.006091,0.021629,0.017518,0.025664,0.036867
2013w17,0.008753,0.012708,-0.01578,-0.000851,-0.022878
2013w18,0.006638,0.014498,-0.003189,0.00237,0.009935
2013w19,0.015272,0.014355,-0.00508,0.03155,0.026302
2013w20,-0.000405,-0.011317,-0.025198,0.043348,0.008645
2013w21,0.020623,0.032517,0.008626,0.058621,0.051797
2013w22,0.000666,0.034876,-0.00188,0.024179,0.032643
2013w23,-0.025586,-0.037735,-0.030243,-0.041832,-0.017616
2013w24,-0.04691,-0.08693,-0.063823,-0.04162,-0.074702
2013w25,-0.022908,-0.028416,0.012023,-0.013411,-0.017221
2013w26,-0.088645,-0.1168,-0.093252,-0.127296,-0.080279
2013w27,-0.017239,0.026545,0.010153,0.040002,0.080423
2013w28,0.011424,0.032167,-0.007739,0.073054,0.027859
2013w29,0.010303,0.052947,0.004562,0.008874,0.009465
2013w30,-0.038029,-0.011606,-0.013506,-0.025201,-0.026896
2013w31,-0.015281,-0.008335,-0.00777,-0.00571,-0.00114
2013w32,0.015271,0.037094,0.017332,0.036348,0.042767
